,logFC,betweenness,pagerank,closeness,katz,hits_authority,hits_hub,eigenvector,eigentrust,inf_score
RPL36P19,-1.65210045867557,,,,,,,,,2.6521004586755703
FCHO1,-1.6518797401734298,,,,,,,,,2.6518797401734298
RP11-284B18.3,-1.65172106920946,,,,,,,,,2.6517210692094597
TRIM49,-1.6514613530400601,,,,,,,,,2.65146135304006
SEMG2,-1.6510673121613797,,,,,,,,,2.6510673121613797
RP11-90P5.1,-1.65096518425848,,,,,,,,,2.65096518425848
RP5-994D16.12,-1.6509347932269298,,,,,,,,,2.65093479322693
ANP32BP1,-1.65092597369405,,,,,,,,,2.65092597369405
RP11-56O18.1,-1.65026950222797,,,,,,,,,2.65026950222797
EIF4EP3,-1.6494852884848201,,,,,,,,,2.6494852884848203
CLEC10A,-1.6494772611755801,,,,,,,,,2.64947726117558
RP11-119D9.4,-1.64827042465272,,,,,,,,,2.6482704246527202
RP11-697E2.12,-1.64802314996941,,,,,,,,,2.64802314996941
TRIM45,-1.64758240897423,,,,,,,,,2.64758240897423
FAM133A,-1.64750154971778,,,,,,,,,2.64750154971778
C17ORF74,-1.64744897479092,,,,,,,,,2.64744897479092
TSPAN19,-1.64659888232194,,,,,,,,,2.64659888232194
PHBP13,-1.64611481997049,,,,,,,,,2.64611481997049
RTBDN,-1.6459547987474998,,,,,,,,,2.6459547987475
CTC-338M12.13,-1.645501332469,,,,,,,,,2.645501332469
IGHM,-1.6452701114274197,,,,,,,,,2.6452701114274197
CX3CL1,-1.6447612431025902,,,,,,,,,2.6447612431025904
ADGRL1,-1.64474868875224,,,,,,,,,2.64474868875224
RP11-241F15.7,-1.64461763055145,,,,,,,,,2.64461763055145
RPS7P4,-1.6441157973881702,,,,,,,,,2.64411579738817
LL22NC03-80A10.11,-1.6434527484144301,,,,,,,,,2.64345274841443
HSPE1P16,-1.64316441850676,,,,,,,,,2.64316441850676
RP11-204M4.1,-1.6425569998584801,,,,,,,,,2.6425569998584804
RP1-62D2.4,-1.64183739006272,,,,,,,,,2.6418373900627197
MYO5C,-1.6417929339711699,,,,,,,,,2.64179293397117
SCD5,-1.64171635401355,,,,,,,,,2.6417163540135498
RP11-707M1.9,-1.64163734976601,,,,,,,,,2.64163734976601
RPL7L1P2,-1.64154992952528,,,,,,,,,2.6415499295252802
CCDC155,-1.6413659831774199,,,,,,,,,2.64136598317742
RP11-403B2.3,-1.6410170336397298,,,,,,,,,2.64101703363973
SFR1P1,-1.64089843566923,,,,,,,,,2.64089843566923
PLEKHA6,-1.6405736193876899,,,,,,,,,2.64057361938769
AC024162.2,-1.6404403065895803,,,,,,,,,2.6404403065895803
C5ORF58,-1.64040653812553,,,,,,,,,2.64040653812553
EIF4E2P2,-1.63917521766081,,,,,,,,,2.63917521766081
EEF1B2P7,-1.6391620697155702,,,,,,,,,2.63916206971557
HMGN1P16,-1.6387741317405802,,,,,,,,,2.63877413174058
RP11-1198D22.1,-1.6386230835658702,,,,,,,,,2.63862308356587
C6ORF222,-1.6385860904179401,,,,,,,,,2.63858609041794
CAPSL,-1.63824658451822,,,,,,,,,2.63824658451822
RP4-799P18.5,-1.6379437817664702,,,,,,,,,2.63794378176647
DPPA3P2,-1.63746797314786,,,,,,,,,2.63746797314786
RP11-434C1.5,-1.63734415906679,,,,,,,,,2.63734415906679
PKHD1,-1.6369145058494199,,,,,,,,,2.63691450584942
LAPTM4BP1,-1.6368642516987,,,,,,,,,2.6368642516987
RP3-507I15.1,-1.63653659373566,,,,,,,,,2.63653659373566
NF1P2,-1.63527058011865,,,,,,,,,2.6352705801186502
RP11-106D4.3,-1.63458297975395,,,,,,,,,2.63458297975395
CA11,-1.6340579798268,,,,,,,,,2.6340579798268
DOK6,-1.63381446635842,,,,,,,,,2.63381446635842
UGT2A3,-1.63381362110787,,,,,,,,,2.63381362110787
KRTAP10-2,-1.6338125847147802,,,,,,,,,2.6338125847147804
DPY19L2P4,-1.6337611013968998,,,,,,,,,2.6337611013968996
RPL12P43,-1.6337422198151699,,,,,,,,,2.63374221981517
GZMB,-1.63359121151801,,,,,,,,,2.6335912115180102
IGHV7-81,-1.63292407210379,,,,,,,,,2.63292407210379
RP11-508N22.6,-1.6316912533895502,,,,,,,,,2.6316912533895502
RSPO1,-1.63166127729508,,,,,,,,,2.63166127729508
SERINC5,-1.6316256235375801,,,,,,,,,2.6316256235375803
RARRES2P2,-1.63126539876347,,,,,,,,,2.63126539876347
MMEL1,-1.6310778738637,,,,,,,,,2.6310778738637
ZC4H2,-1.63100609344778,,,,,,,,,2.63100609344778
RP11-344H11.5,-1.6307535267228201,,,,,,,,,2.6307535267228204
KCNA5,-1.6306919045363701,,,,,,,,,2.63069190453637
OR2G1P,-1.63058449339046,,,,,,,,,2.63058449339046
RP11-420K14.1,-1.63045778205017,,,,,,,,,2.6304577820501702
SUCLG2P4,-1.6303188207893797,,,,,,,,,2.6303188207893795
DNALI1,-1.63022900372145,,,,,,,,,2.6302290037214497
CYP4F23P,-1.6301115924517,,,,,,,,,2.6301115924517
NSUN5P2,-1.62964264652244,,,,,,,,,2.62964264652244
CTB-95D12.1,-1.62952834938216,,,,,,,,,2.62952834938216
MIA-RAB4B,-1.62950839305572,,,,,,,,,2.62950839305572
CTA-313A17.2,-1.62910178489229,,,,,,,,,2.62910178489229
NPM1P25,-1.6289710070394299,,,,,,,,,2.62897100703943
RP3-521E19.3,-1.6289070843763602,,,,,,,,,2.62890708437636
KRT8P2,-1.6288975573716,,,,,,,,,2.6288975573716
RP11-392E22.9,-1.62824575492917,,,,,,,,,2.62824575492917
OR13D3P,-1.6282134633875098,,,,,,,,,2.62821346338751
RP11-12A20.12,-1.6274675004095802,,,,,,,,,2.62746750040958
C16ORF46,-1.6267627381067198,,,,,,,,,2.62676273810672
NOL4L,-1.62597163554749,,,,,,,,,2.62597163554749
RP11-350D23.4,-1.62572213658653,,,,,,,,,2.62572213658653
HSPE1P12,-1.6253414185559498,,,,,,,,,2.6253414185559496
RPL13AP17,-1.62533292146099,,,,,,,,,2.62533292146099
