,logFC,betweenness,pagerank,closeness,katz,hits_authority,hits_hub,eigenvector,eigentrust,inf_score
MYH7,18.7908977146385,0.00031847755709686675,0.0021216952660460526,0.16627996906419182,0.02340525910343108,1.3839695820881888e-06,1.3839695820881888e-06,1.4065928966705147e-06,0.0011164363024362485,23.706154766803152
MYL2,17.0935634769923,0.0,0.0010153651532294097,0.14285714285714288,0.022700497556784504,1.91840848426117e-07,1.9184084842611698e-07,1.9682990683687533e-07,0.0004298606207742842,21.178352103447647
MYH6,16.669100309342998,0.0,0.0012534160982514298,0.16589506172839505,0.022953541923683925,1.3420006127942977e-06,1.3420006127942972e-06,1.363082324237242e-06,0.0006776964221805999,21.113965037808548
MB,15.2546944406466,0.0,0.00021237434518038187,,0.022237215589954378,0.0,0.0,0.0,0.0,16.61968243000918
MYBPC3,15.2283217012067,0.0,0.00021237434518038187,,0.022237215589954378,0.0,0.0,0.0,0.0,16.592717508835115
IGKC,14.8290787578387,,,,,,,,,15.8290787578387
NRAP,14.671002102539699,0.001448202624902083,0.001978564907511725,0.18391787852865696,0.02320082736324464,1.1352064508116207e-06,1.1352064508116205e-06,1.1688163377220096e-06,0.00044396297406821617,19.057258032563926
C14ORF180,14.2687425518239,0.0,0.00021237434518038187,,0.022237215589954378,0.0,0.0,0.0,0.0,15.611591669316345
CCNL1,13.819254491963198,0.0,0.00021237434518038187,,0.022237215589954378,0.0,0.0,0.0,0.0,15.152010664072384
IGLC1,13.623389651900402,0.0,0.00021237434518038187,,0.022237215589954378,0.0,0.0,0.0,0.0,14.95174781367341
IGLC3,13.415439680404901,,,,,,,,,14.415439680404901
NPPA,13.2336837022165,3.0045052556308184e-06,0.001623475445662412,0.625,0.02269323822981485,1.0704269257041684e-26,1.0704269257041677e-26,2.03118480519476e-25,0.0008686413393432023,23.713679318615476
CSRP3,13.218336286968698,0.0003194790588487437,0.0018833930696369797,0.15613652868554828,0.022920798747461384,1.4302109966634503e-07,1.43021099666345e-07,1.4947703731169143e-07,0.00034315726348566836,16.857959752972288
HHATL,13.0879693097213,0.0,0.00021237434518038187,,0.022237215589954378,0.0,0.0,0.0,0.0,14.404304975785802
C1QB,12.909741133517802,5.007508759384698e-07,0.002066337383967121,1.0,0.02268649720119367,5.542727569222744e-32,5.542727569222744e-32,1.9026486352469778e-30,0.0005,28.523666412296517
IGLC2,12.876801784105801,,,,,,,,,13.876801784105801
MYL3,12.6855371525352,0.00010716068745083253,0.0015610681203158574,0.14295212765957446,0.02292293760594463,1.9442846829800726e-07,1.9442846829800724e-07,1.9955802747615214e-07,0.0005627883583041206,16.0361968857996
IGHA2,12.627138994653802,,,,,,,,,13.627138994653802
C1QC,12.481415106665402,0.0,0.0010905747598013535,0.6666666666666666,0.02246408056196628,5.542727569222744e-32,5.542727569222744e-32,1.9026486352469778e-30,0.00033905899925317407,23.006623743347483
ITLN1,12.392403802581,0.0,0.00021237434518038187,,0.022237215589954378,0.0,0.0,0.0,0.0,13.693121023349708
VSIG4,12.21846158294,0.0,0.000800818838965294,0.375,0.022473139696283086,1.5251072232506788e-21,1.5251072232506782e-21,1.5712192867409e-20,0.0005075845974329054,18.60816535299961
C1QA,12.1924649252266,0.0,0.0010905747598013535,0.6666666666666666,0.02246408056196628,5.542727569222744e-32,5.542727569222744e-32,1.9026486352469778e-30,0.0006609410007468261,22.520761877365395
IGHG2,12.031388595374501,,,,,,,,,13.031388595374501
CCL14,11.978068421028901,2.503754379692349e-07,0.0014158289678566091,0.75,0.0226910363162794,5.811971103625308e-26,5.811971103625308e-26,9.975358476763675e-25,0.0004443418013856816,23.270196494212037
LMOD2,11.968942010010199,0.0,0.00021237434518038187,,0.022237215589954378,0.0,0.0,0.0,0.0,13.26015068733586
PPP1R3A,11.957982324458499,0.0,0.00021237434518038187,,0.022237215589954378,0.0,0.0,0.0,0.0,13.248944909579343
BMP10,11.9502791267084,0.0,0.00021237434518038187,,0.022237215589954378,0.0,0.0,0.0,0.0,13.241068741819335
COX6A2,11.8942318195453,3.338339172923132e-07,0.0015892051086496268,0.7000000000000001,0.02340517754155915,8.610348832966029e-11,8.610348832966021e-11,2.5853731060678023e-10,0.0006045470203238036,22.48248216382898
TCAP,11.8877856278071,0.0,0.0006271928095167464,0.1575091575091575,0.022482858932611455,1.602914538485779e-07,1.602914538485779e-07,1.7038589288346945e-07,0.0002272045808466755,15.266164998149902
IGHG4,11.855803084582,,,,,,,,,12.855803084582
IGHG3,11.745821985029302,,,,,,,,,12.745821985029302
CASQ2,11.698456910409698,0.0,0.00021237434518038187,,0.022237215589954378,0.0,0.0,0.0,0.0,12.983592030769021
S100A8,11.618538361777698,0.0,0.0014158289678566091,1.0,0.022461833929246843,5.285956925604576e-38,5.285956925604576e-38,3.629014273160892e-36,0.0005,25.853401967351996
IGHG1,11.5327995614447,,,,,,,,,12.5327995614447
GIMAP7,11.5306605185319,0.0,0.00021237434518038187,,0.022237215589954378,0.0,0.0,0.0,0.0,12.812027886263364
PLN,11.4612919202782,0.0,0.0007489409374815591,0.10760760760760761,0.022464150069773686,3.4615169902811186e-10,3.4615169902811175e-10,5.214271724053811e-10,0.00014311277046434286,14.124867350479347
DHRS7C,11.3428031718464,0.0,0.00021237434518038187,,0.022237215589954378,0.0,0.0,0.0,0.0,12.619952332000718
S100A9,11.2702510218033,0.0,0.0014158289678566091,1.0,0.022461833929246843,5.285956925604576e-38,5.285956925604576e-38,3.629014273160892e-36,0.0005,25.1398159447606
XIRP2,11.2135562858375,0.0,0.00021237434518038187,,0.022237215589954378,0.0,0.0,0.0,0.0,12.48780329601736
CALML3,11.203614244598802,0.0,0.0005771982538682173,0.1413543721236029,0.02247818086091314,5.1635515349691856e-08,5.163551534969185e-08,5.956585384415916e-08,0.00015329780339884888,14.252146268554469
FCGR2A,11.059225188606,0.0,0.0014158289678566091,1.0,0.022461833929246843,5.285956925604576e-38,5.285956925604576e-38,3.629014273160892e-36,0.0005,24.707457177467003
CLIC5,11.052891975873498,0.0,0.00021237434518038187,,0.022237215589954378,0.0,0.0,0.0,0.0,12.323531379421919
