,logFC,betweenness,pagerank,closeness,katz,hits_authority,hits_hub,eigenvector,eigentrust,inf_score
GAPDHP70,1.8686430272272199,,,,,,,,,2.86864302722722
SFXN3,1.8681121848645201,,,,,,,,,2.86811218486452
ERF,1.86794103024268,,,,,,,,,2.86794103024268
TEX261,1.86786042477133,,,,,,,,,2.86786042477133
ZDHHC4P1,1.86713824730628,,,,,,,,,2.86713824730628
RASSF1,1.86699956829437,,,,,,,,,2.86699956829437
PPP1R14B,1.8666737669260502,,,,,,,,,2.8666737669260502
SSPN,1.8658037446620102,,,,,,,,,2.86580374466201
CD2AP,1.8645744387258203,,,,,,,,,2.8645744387258203
RP11-438P9.1,1.8643032885098,,,,,,,,,2.8643032885098
TMPRSS11E,1.8642429609241202,,,,,,,,,2.8642429609241202
ARAF,1.86387106109617,,,,,,,,,2.86387106109617
AC069213.4,1.86374147324108,,,,,,,,,2.86374147324108
TMEM30A,1.8633000084318199,,,,,,,,,2.86330000843182
IMPDH1,1.86312691133487,,,,,,,,,2.86312691133487
CTSS,1.8629676077338002,,,,,,,,,2.8629676077338004
COQ10B,1.8627983907466499,,,,,,,,,2.86279839074665
P2RY2,1.8624182626855001,,,,,,,,,2.8624182626855
STK17A,1.86168119887779,,,,,,,,,2.8616811988777897
ACOD1,1.86123289101641,,,,,,,,,2.86123289101641
HSPA5,1.86104564622071,,,,,,,,,2.8610456462207097
FAM46B,1.8608989787647,,,,,,,,,2.8608989787647
RP1-131F15.2,1.86049402318176,,,,,,,,,2.8604940231817597
GRINA,1.86044141425496,,,,,,,,,2.86044141425496
SDF2L1,1.85989866013423,,,,,,,,,2.85989866013423
HSPA1B,1.8597586366962,,,,,,,,,2.8597586366962
IGF2R,1.85939788005851,,,,,,,,,2.85939788005851
MED15,1.8591162537209198,,,,,,,,,2.85911625372092
SYNPO2L,1.85889358192557,,,,,,,,,2.85889358192557
EIF4G1,1.85820987007649,,,,,,,,,2.85820987007649
ILK,1.85805217195323,,,,,,,,,2.85805217195323
ARFGAP1,1.8574954743319398,,,,,,,,,2.85749547433194
CKLF,1.85744435032315,,,,,,,,,2.85744435032315
AGPAT3,1.8558156684659197,,,,,,,,,2.8558156684659197
SRM,1.8551088038598,,,,,,,,,2.8551088038598
TBXAS1,1.85506569098554,,,,,,,,,2.85506569098554
ACOT1,1.85504043266995,,,,,,,,,2.85504043266995
ITPRIP,1.85421460653109,,,,,,,,,2.85421460653109
GAGE12F,1.8538730645850399,,,,,,,,,2.8538730645850396
GAGE12G,1.8538730645850399,,,,,,,,,2.8538730645850396
EEF1A1P13,1.85362643764622,,,,,,,,,2.85362643764622
C11ORF68,1.8519513240034398,,,,,,,,,2.8519513240034398
DUSP2,1.85188225354707,,,,,,,,,2.8518822535470703
FAH,1.8512650247209799,,,,,,,,,2.8512650247209796
TEX264,1.85104701669133,,,,,,,,,2.85104701669133
GPAA1P2,1.85047643719198,,,,,,,,,2.85047643719198
DNAJC15,1.8495651345582602,,,,,,,,,2.84956513455826
YIF1A,1.84898454958182,,,,,,,,,2.84898454958182
PYCR1,1.8489480793336401,,,,,,,,,2.84894807933364
GH1,1.8484654637815299,,,,,,,,,2.8484654637815296
CMPK2,1.8482267563760701,,,,,,,,,2.84822675637607
TMED3,1.84631435664658,,,,,,,,,2.8463143566465803
NPTN,1.8460832323401999,,,,,,,,,2.8460832323401997
DDT,1.8458042742794498,,,,,,,,,2.84580427427945
MINOS1-NBL1,1.8457132560723897,,,,,,,,,2.84571325607239
