,Unnamed: 0.1,id_folder,dict_additive_factor,dict_multiplication_factor,average_statistic,average_p_value,mean_synergy,mean_not_synergy,dif_mean,description
13,13,13,"{'logFC': 1, 'betweenness': 1, 'pagerank': 1, 'closeness': 1, 'katz': 1, 'eigenvector': 1, 'eigentrust': 1}","{'logFC': 6.595261481882096, 'betweenness': 3.429351025885235, 'pagerank': 2.032713756580377, 'closeness': 9.062975963764602, 'katz': 6.970973480366033, 'eigenvector': 9.68356042433547, 'eigentrust': 4.852820708841654}",0.13472640693243154,0.0,0.7399778429149001,0.7697280280327266,0.029750185117826455,bayes_7_metrics_alpha_00001
14,14,14,"{'logFC': 1, 'betweenness': 1, 'pagerank': 1, 'closeness': 1, 'katz': 1, 'eigenvector': 1, 'eigentrust': 1}","{'logFC': 9.130415685060283, 'betweenness': 9.54540332836364, 'pagerank': 6.163115380050573, 'closeness': 5.0492092013194645, 'katz': 3.1332428221872495, 'eigenvector': 4.673231224851531, 'eigentrust': 6.205506529484186}",0.13389603672184686,0.0,0.727786269811526,0.761246417233949,0.03346014742242298,bayes_7_metrics_alpha_00001
15,15,15,"{'logFC': 1, 'betweenness': 1, 'pagerank': 1, 'closeness': 1, 'katz': 1, 'eigenvector': 1, 'eigentrust': 1}","{'logFC': 4.215427840022498, 'betweenness': 1.0258329432804307, 'pagerank': 9.176816358278193, 'closeness': 6.554304222586515, 'katz': 8.97347889379697, 'eigenvector': 5.743522920318483, 'eigentrust': 3.9398041159488653}",0.13223993524040145,0.0,0.7447107424397211,0.7701598021388114,0.025449059699090282,bayes_7_metrics_alpha_00001
16,16,16,"{'logFC': 1, 'betweenness': 1, 'pagerank': 1, 'closeness': 1, 'katz': 1, 'eigenvector': 1, 'eigentrust': 1}","{'logFC': 2.551064575107957, 'betweenness': 6.6102410421262245, 'pagerank': 2.2342217466599, 'closeness': 1.1423911856190065, 'katz': 9.975905654063325, 'eigenvector': 7.218072257652316, 'eigentrust': 9.364935103693853}",0.13264584246624592,0.0,0.7410686292538539,0.7789153423995273,0.03784671314567345,bayes_7_metrics_alpha_00001
17,17,17,"{'logFC': 1, 'betweenness': 1, 'pagerank': 1, 'closeness': 1, 'katz': 1, 'eigenvector': 1, 'eigentrust': 1}","{'logFC': 9.30722081991835, 'betweenness': 9.393359167334472, 'pagerank': 7.403722827656246, 'closeness': 7.271363453409101, 'katz': 7.784885696151218, 'eigenvector': 7.799167473422197, 'eigentrust': 1.5940015544985624}",0.13173429081049237,0.0,0.7218803115340172,0.7546502238989371,0.032769912364919884,bayes_7_metrics_alpha_00001
18,18,18,"{'logFC': 1, 'betweenness': 1, 'pagerank': 1, 'closeness': 1, 'katz': 1, 'eigenvector': 1, 'eigentrust': 1}","{'logFC': 8.740251538145992, 'betweenness': 2.1184386577494823, 'pagerank': 5.849479579074876, 'closeness': 1.1789212045581603, 'katz': 3.215899608427413, 'eigenvector': 1.2547583921871515, 'eigentrust': 1.2358988818994736}",0.13092943476838934,0.0,0.8282655735368559,0.8383624869816076,0.01009691344475172,bayes_7_metrics_alpha_00001
19,19,19,"{'logFC': 1, 'betweenness': 1, 'pagerank': 1, 'closeness': 1, 'katz': 1, 'eigenvector': 1, 'eigentrust': 1}","{'logFC': 9.72636173487707, 'betweenness': 5.975397808171893, 'pagerank': 6.04927197330139, 'closeness': 8.57827803123645, 'katz': 6.271833443124591, 'eigenvector': 3.5126531111002555, 'eigentrust': 2.1175598360792005}",0.13214947591578471,0.0,0.7357819717737145,0.7627512177447323,0.026969245971017797,bayes_7_metrics_alpha_00001
20,20,20,"{'logFC': 1, 'betweenness': 1, 'pagerank': 1, 'closeness': 1, 'katz': 1, 'eigenvector': 1, 'eigentrust': 1}","{'logFC': 8.771876691034858, 'betweenness': 1.1678256043564872, 'pagerank': 7.724094784634661, 'closeness': 8.205694054125548, 'katz': 4.490745796577546, 'eigenvector': 8.263946760569013, 'eigentrust': 3.096768464569184}",0.13416741469569715,0.0,0.7490756325880613,0.7713580229763238,0.02228239038826252,bayes_7_metrics_alpha_00001
21,21,21,"{'logFC': 1, 'betweenness': 1, 'pagerank': 1, 'closeness': 1, 'katz': 1, 'eigenvector': 1, 'eigentrust': 1}","{'logFC': 1.9674471619548362, 'betweenness': 6.00616210591377, 'pagerank': 3.0313840474706923, 'closeness': 2.228097030946165, 'katz': 1.4009669069028554, 'eigenvector': 2.092091101666636, 'eigentrust': 1.539259205609905}",0.13542920630060795,0.0,0.8376022298948858,0.852724243662126,0.015122013767240206,bayes_7_metrics_alpha_00001
22,22,22,"{'logFC': 1, 'betweenness': 1, 'pagerank': 1, 'closeness': 1, 'katz': 1, 'eigenvector': 1, 'eigentrust': 1}","{'logFC': 6.112904157279479, 'betweenness': 7.41690082344409, 'pagerank': 2.8296391119489144, 'closeness': 6.037452838487282, 'katz': 9.705486970002449, 'eigenvector': 1.6477685172053809, 'eigentrust': 1.1130038214320428}",0.13152321905305325,0.0,0.7646355884395531,0.7857827324476313,0.021147144008078156,bayes_7_metrics_alpha_00001
23,23,23,"{'logFC': 1, 'betweenness': 1, 'pagerank': 1, 'closeness': 1, 'katz': 1, 'eigenvector': 1, 'eigentrust': 1}","{'logFC': 8.621459213410319, 'betweenness': 3.270931701132911, 'pagerank': 3.1586298323282755, 'closeness': 7.694432686675836, 'katz': 9.730179901794811, 'eigenvector': 6.23223034545932, 'eigentrust': 2.7588653299838692}",0.13339503123166171,0.0,0.7426293540514065,0.7687152345556247,0.02608588050421823,bayes_7_metrics_alpha_00001
24,24,24,"{'logFC': 1, 'betweenness': 1, 'pagerank': 1, 'closeness': 1, 'katz': 1, 'eigenvector': 1, 'eigentrust': 1}","{'logFC': 1.630199293473001, 'betweenness': 5.4439274284185695, 'pagerank': 5.3771059984332865, 'closeness': 6.579601465432418, 'katz': 1.1671858195966855, 'eigenvector': 2.4111225518147585, 'eigentrust': 8.460828095951609}",0.13615751983726598,0.0,0.7621874996886892,0.7905554993441166,0.028367999655427467,bayes_7_metrics_alpha_00001
25,25,25,"{'logFC': 1, 'betweenness': 1, 'pagerank': 1, 'closeness': 1, 'katz': 1, 'eigenvector': 1, 'eigentrust': 1}","{'logFC': 4.421270553611953, 'betweenness': 6.456965154879973, 'pagerank': 5.958533972061072, 'closeness': 6.119662933778332, 'katz': 6.217706973212172, 'eigenvector': 9.89754538971204, 'eigentrust': 3.856261683899447}",0.13336951706318004,0.0,0.7285003274328907,0.7656506674435055,0.03715034001061479,bayes_7_metrics_alpha_00001
26,26,26,"{'logFC': 1, 'betweenness': 1, 'pagerank': 1, 'closeness': 1, 'katz': 1, 'eigenvector': 1, 'eigentrust': 1}","{'logFC': 6.6674575631940804, 'betweenness': 7.708009878158519, 'pagerank': 2.891566089233556, 'closeness': 7.023096041078661, 'katz': 4.330757781226957, 'eigenvector': 1.5970135098559741, 'eigentrust': 3.3842760189652843}",0.1334112675206955,0.0,0.7600659508312226,0.7839589889590195,0.023893038127796862,bayes_7_metrics_alpha_00001
27,27,27,"{'logFC': 1, 'betweenness': 1, 'pagerank': 1, 'closeness': 1, 'katz': 1, 'eigenvector': 1, 'eigentrust': 1}","{'logFC': 6.755147927919461, 'betweenness': 7.7747999836493245, 'pagerank': 5.722032782113603, 'closeness': 1.5988283321870345, 'katz': 2.7409085436099496, 'eigenvector': 8.242791073690109, 'eigentrust': 3.342835887206869}",0.13625261810160672,0.0,0.750114510744084,0.7811138765418002,0.030999365797716227,bayes_7_metrics_alpha_00001
28,28,28,"{'logFC': 1, 'betweenness': 1, 'pagerank': 1, 'closeness': 1, 'katz': 1, 'eigenvector': 1, 'eigentrust': 1}","{'logFC': 9.170342672531717, 'betweenness': 9.323271733594156, 'pagerank': 9.387748622771536, 'closeness': 3.369670934383999, 'katz': 7.9496022658892205, 'eigenvector': 7.6155936695980255, 'eigentrust': 1.593649816156214}",0.13183866695428095,0.0,0.7257835779176317,0.7584509256589015,0.03266734774126978,bayes_7_metrics_alpha_00001
29,29,29,"{'logFC': 1, 'betweenness': 1, 'pagerank': 1, 'closeness': 1, 'katz': 1, 'eigenvector': 1, 'eigentrust': 1}","{'logFC': 6.0098786937564075, 'betweenness': 1.1255641567803731, 'pagerank': 9.240457147896471, 'closeness': 3.1092587750927847, 'katz': 9.551585073223716, 'eigenvector': 9.541146886188548, 'eigentrust': 6.551005213014919}",0.1320079882542046,0.0,0.7382686347532766,0.767677020666311,0.029408385913034407,bayes_7_metrics_alpha_00001
30,30,30,"{'logFC': 1, 'betweenness': 1, 'pagerank': 1, 'closeness': 1, 'katz': 1, 'eigenvector': 1, 'eigentrust': 1}","{'logFC': 9.335632840358082, 'betweenness': 6.774095880517038, 'pagerank': 9.268600920702454, 'closeness': 4.510069427271216, 'katz': 5.945931293577063, 'eigenvector': 6.438794346279759, 'eigentrust': 5.373916003872187}",0.1325159521539757,0.0,0.7218682197927162,0.757076418853845,0.03520819906112882,bayes_7_metrics_alpha_00001
